(0.0020, 0.0140, 0.0270)	Architecture [2-4]	 Time 0.0440	 Loss 0.7996	 CELoss 0.7437	  RegLoss 0.0559	 s9 1.0132510662078857
(0.0020, 0.0100, 0.0250)	Architecture [2-9]	 Time 0.0380	 Loss 0.7701	 CELoss 0.7143	  RegLoss 0.0559	 s9 1.013127326965332
(0.0010, 0.0100, 0.0260)	Architecture [2-14]	 Time 0.0390	 Loss 0.8471	 CELoss 0.7912	  RegLoss 0.0559	 s9 1.013164758682251
(0.0020, 0.0090, 0.0190)	Architecture [2-19]	 Time 0.0310	 Loss 1.1737	 CELoss 1.1178	  RegLoss 0.0559	 s9 1.013236403465271
(0.0020, 0.0100, 0.0290)	Architecture [2-24]	 Time 0.0410	 Loss 1.0220	 CELoss 0.9662	  RegLoss 0.0559	 s9 1.0131984949111938
(0.0020, 0.0100, 0.0270)	Architecture [2-29]	 Time 0.0400	 Loss 0.8393	 CELoss 0.7834	  RegLoss 0.0558	 s9 1.0129659175872803
(0.0020, 0.0060, 0.0120)	Architecture [2-34]	 Time 0.0200	 Loss 1.8212	 CELoss 1.7653	  RegLoss 0.0558	 s9 1.012858510017395
(0.0020, 0.0110, 0.0270)	Architecture [2-39]	 Time 0.0410	 Loss 1.1793	 CELoss 1.1234	  RegLoss 0.0558	 s9 1.0129528045654297
(0.0010, 0.0090, 0.0190)	Architecture [2-44]	 Time 0.0310	 Loss 1.3109	 CELoss 1.2551	  RegLoss 0.0558	 s9 1.0127921104431152
(0.0010, 0.0110, 0.0250)	Architecture [2-49]	 Time 0.0390	 Loss 1.2906	 CELoss 1.2348	  RegLoss 0.0558	 s9 1.0127276182174683
(0.0010, 0.0120, 0.0260)	Architecture [2-54]	 Time 0.0410	 Loss 0.9732	 CELoss 0.9174	  RegLoss 0.0558	 s9 1.012520432472229
(0.0010, 0.0160, 0.0270)	Architecture [3-4]	 Time 0.0450	 Loss 0.8142	 CELoss 0.7584	  RegLoss 0.0558	 s9 1.012515902519226
(0.0020, 0.0120, 0.0290)	Architecture [3-9]	 Time 0.0430	 Loss 0.8764	 CELoss 0.8206	  RegLoss 0.0558	 s9 1.0125789642333984
(0.0020, 0.0100, 0.0270)	Architecture [3-14]	 Time 0.0400	 Loss 1.4654	 CELoss 1.4096	  RegLoss 0.0558	 s9 1.0125869512557983
(0.0020, 0.0100, 0.0280)	Architecture [3-19]	 Time 0.0410	 Loss 0.8180	 CELoss 0.7623	  RegLoss 0.0557	 s9 1.0122485160827637
(0.0020, 0.0080, 0.0200)	Architecture [3-24]	 Time 0.0310	 Loss 3.2198	 CELoss 3.1641	  RegLoss 0.0557	 s9 1.012007713317871
(0.0010, 0.0090, 0.0190)	Architecture [3-29]	 Time 0.0300	 Loss 1.2871	 CELoss 1.2314	  RegLoss 0.0558	 s9 1.0124680995941162
(0.0020, 0.0120, 0.0290)	Architecture [3-34]	 Time 0.0440	 Loss 1.2527	 CELoss 1.1969	  RegLoss 0.0558	 s9 1.0127851963043213
(0.0020, 0.0090, 0.0190)	Architecture [3-39]	 Time 0.0310	 Loss 1.2445	 CELoss 1.1887	  RegLoss 0.0558	 s9 1.0129132270812988
(0.0010, 0.0120, 0.0290)	Architecture [3-44]	 Time 0.0440	 Loss 0.9501	 CELoss 0.8942	  RegLoss 0.0559	 s9 1.0131802558898926
(0.0020, 0.0100, 0.0260)	Architecture [3-49]	 Time 0.0390	 Loss 3.2467	 CELoss 3.1909	  RegLoss 0.0559	 s9 1.013217806816101
(0.0020, 0.0080, 0.0200)	Architecture [3-54]	 Time 0.0320	 Loss 1.3453	 CELoss 1.2894	  RegLoss 0.0559	 s9 1.0133755207061768
(0.0020, 0.0150, 0.0270)	Architecture [4-4]	 Time 0.0460	 Loss 0.5549	 CELoss 0.4990	  RegLoss 0.0559	 s9 1.0134084224700928
(0.0010, 0.0110, 0.0290)	Architecture [4-9]	 Time 0.0430	 Loss 1.1934	 CELoss 1.1375	  RegLoss 0.0559	 s9 1.013385534286499
(0.0010, 0.0080, 0.0200)	Architecture [4-14]	 Time 0.0310	 Loss 1.4916	 CELoss 1.4358	  RegLoss 0.0559	 s9 1.0131343603134155
(0.0010, 0.0100, 0.0260)	Architecture [4-19]	 Time 0.0390	 Loss 0.8644	 CELoss 0.8086	  RegLoss 0.0558	 s9 1.012922763824463
(0.0020, 0.0070, 0.0190)	Architecture [4-24]	 Time 0.0290	 Loss 1.6578	 CELoss 1.6020	  RegLoss 0.0558	 s9 1.012782335281372
(0.0010, 0.0100, 0.0290)	Architecture [4-29]	 Time 0.0420	 Loss 1.2397	 CELoss 1.1839	  RegLoss 0.0558	 s9 1.0126092433929443
(0.0010, 0.0120, 0.0260)	Architecture [4-34]	 Time 0.0410	 Loss 0.8401	 CELoss 0.7843	  RegLoss 0.0558	 s9 1.0126057863235474
(0.0010, 0.0110, 0.0270)	Architecture [4-39]	 Time 0.0400	 Loss 1.0634	 CELoss 1.0077	  RegLoss 0.0558	 s9 1.012542963027954
(0.0010, 0.0100, 0.0300)	Architecture [4-44]	 Time 0.0430	 Loss 0.8921	 CELoss 0.8364	  RegLoss 0.0558	 s9 1.0124808549880981
(0.0010, 0.0100, 0.0250)	Architecture [4-49]	 Time 0.0380	 Loss 1.1299	 CELoss 1.0741	  RegLoss 0.0558	 s9 1.0124425888061523
(0.0020, 0.0110, 0.0270)	Architecture [4-54]	 Time 0.0410	 Loss 1.1250	 CELoss 1.0693	  RegLoss 0.0558	 s9 1.0123957395553589
(0.0020, 0.0140, 0.0280)	Architecture [5-4]	 Time 0.0450	 Loss 0.9511	 CELoss 0.8954	  RegLoss 0.0558	 s9 1.0124433040618896
(0.0010, 0.0090, 0.0200)	Architecture [5-9]	 Time 0.0320	 Loss 0.8890	 CELoss 0.8332	  RegLoss 0.0558	 s9 1.0125247240066528
(0.0010, 0.0110, 0.0260)	Architecture [5-14]	 Time 0.0400	 Loss 0.7701	 CELoss 0.7143	  RegLoss 0.0558	 s9 1.0124973058700562
(0.0020, 0.0080, 0.0180)	Architecture [5-19]	 Time 0.0290	 Loss 1.3386	 CELoss 1.2828	  RegLoss 0.0558	 s9 1.0125340223312378
(0.0010, 0.0110, 0.0260)	Architecture [5-24]	 Time 0.0400	 Loss 0.8227	 CELoss 0.7670	  RegLoss 0.0558	 s9 1.0124298334121704
(0.0010, 0.0100, 0.0260)	Architecture [5-29]	 Time 0.0380	 Loss 0.6811	 CELoss 0.6254	  RegLoss 0.0558	 s9 1.0123872756958008
(0.0020, 0.0100, 0.0260)	Architecture [5-34]	 Time 0.0390	 Loss 0.9057	 CELoss 0.8500	  RegLoss 0.0557	 s9 1.0123027563095093
(0.0010, 0.0110, 0.0200)	Architecture [5-39]	 Time 0.0340	 Loss 2.3346	 CELoss 2.2789	  RegLoss 0.0557	 s9 1.0122449398040771
(0.0010, 0.0130, 0.0300)	Architecture [5-44]	 Time 0.0460	 Loss 1.0271	 CELoss 0.9714	  RegLoss 0.0557	 s9 1.0120849609375
(0.0010, 0.0110, 0.0260)	Architecture [5-49]	 Time 0.0400	 Loss 0.7802	 CELoss 0.7245	  RegLoss 0.0557	 s9 1.012078881263733
(0.0020, 0.0100, 0.0290)	Architecture [5-54]	 Time 0.0420	 Loss 2.6746	 CELoss 2.6189	  RegLoss 0.0557	 s9 1.0121089220046997
(0.0010, 0.0110, 0.0250)	Architecture [6-4]	 Time 0.0390	 Loss 0.7456	 CELoss 0.6900	  RegLoss 0.0556	 s9 1.0116674900054932
(0.0020, 0.0080, 0.0190)	Architecture [6-9]	 Time 0.0300	 Loss 1.0821	 CELoss 1.0265	  RegLoss 0.0556	 s9 1.0114097595214844
(0.0020, 0.0100, 0.0260)	Architecture [6-14]	 Time 0.0390	 Loss 1.1493	 CELoss 1.0937	  RegLoss 0.0556	 s9 1.0112677812576294
(0.0020, 0.0120, 0.0260)	Architecture [6-19]	 Time 0.0410	 Loss 1.0449	 CELoss 0.9893	  RegLoss 0.0555	 s9 1.01104736328125
(0.0020, 0.0100, 0.0270)	Architecture [6-24]	 Time 0.0410	 Loss 0.8075	 CELoss 0.7520	  RegLoss 0.0555	 s9 1.010876178741455
(0.0020, 0.0110, 0.0260)	Architecture [6-29]	 Time 0.0400	 Loss 0.8834	 CELoss 0.8279	  RegLoss 0.0555	 s9 1.0107834339141846
(0.0020, 0.0100, 0.0260)	Architecture [6-34]	 Time 0.0390	 Loss 0.6374	 CELoss 0.5819	  RegLoss 0.0555	 s9 1.0108059644699097
