Warmup Train [1][0/48]	Time 0.255 (0.255)	Data 0.002 (0.002)	Loss 1.6294 (1.6294)	Top-1 acc 10.938 (10.938)	Top-5 acc 100.000 (100.000)	lr 0.05000
Warmup Train [1][30/48]	Time 0.008 (0.042)	Data 0.001 (0.001)	Loss 1.2622 (1.3483)	Top-1 acc 42.188 (34.879)	Top-5 acc 100.000 (100.000)	lr 0.04997
Warmup Train [1][48/48]	Time 0.122 (0.032)	Data 0.001 (0.001)	Loss 1.0840 (1.2606)	Top-1 acc 47.273 (39.303)	Top-5 acc 100.000 (100.000)	lr 0.04993
==========Warmup Valid [1/40]	loss 5.902	top-1 acc 17.149	top-5 acc 100.000	Train top-1 39.303	top-5 100.000	flops: 2.3M
Warmup Train [2][0/48]	Time 0.013 (0.013)	Data 0.002 (0.002)	Loss 0.9859 (0.9859)	Top-1 acc 43.750 (43.750)	Top-5 acc 100.000 (100.000)	lr 0.04992
Warmup Train [2][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.9221 (1.0704)	Top-1 acc 56.250 (47.681)	Top-5 acc 100.000 (100.000)	lr 0.04980
Warmup Train [2][48/48]	Time 0.166 (0.012)	Data 0.001 (0.001)	Loss 0.9454 (1.0883)	Top-1 acc 50.909 (47.266)	Top-5 acc 100.000 (100.000)	lr 0.04970
==========Warmup Valid [2/40]	loss 5.554	top-1 acc 17.578	top-5 acc 100.000	Train top-1 47.266	top-5 100.000	flops: 2.3M
Warmup Train [3][0/48]	Time 0.011 (0.011)	Data 0.001 (0.001)	Loss 1.1096 (1.1096)	Top-1 acc 48.438 (48.438)	Top-5 acc 100.000 (100.000)	lr 0.04969
Warmup Train [3][30/48]	Time 0.010 (0.009)	Data 0.001 (0.001)	Loss 1.0481 (1.0459)	Top-1 acc 50.000 (46.976)	Top-5 acc 100.000 (100.000)	lr 0.04948
Warmup Train [3][48/48]	Time 0.143 (0.012)	Data 0.000 (0.001)	Loss 1.2519 (1.0657)	Top-1 acc 40.000 (47.458)	Top-5 acc 100.000 (100.000)	lr 0.04932
==========Warmup Valid [3/40]	loss 5.205	top-1 acc 17.149	top-5 acc 100.000	Train top-1 47.458	top-5 100.000	flops: 2.3M
Warmup Train [4][0/48]	Time 0.011 (0.011)	Data 0.002 (0.002)	Loss 0.9882 (0.9882)	Top-1 acc 54.688 (54.688)	Top-5 acc 100.000 (100.000)	lr 0.04931
Warmup Train [4][30/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 1.0523 (1.0339)	Top-1 acc 48.438 (49.093)	Top-5 acc 100.000 (100.000)	lr 0.04900
Warmup Train [4][48/48]	Time 0.022 (0.009)	Data 0.001 (0.001)	Loss 1.0612 (1.1024)	Top-1 acc 52.727 (46.978)	Top-5 acc 100.000 (100.000)	lr 0.04879
==========Warmup Valid [4/40]	loss 2.079	top-1 acc 27.546	top-5 acc 100.000	Train top-1 46.978	top-5 100.000	flops: 2.3M
Warmup Train [5][0/48]	Time 0.010 (0.010)	Data 0.001 (0.001)	Loss 0.9410 (0.9410)	Top-1 acc 51.562 (51.562)	Top-5 acc 100.000 (100.000)	lr 0.04878
Warmup Train [5][30/48]	Time 0.010 (0.008)	Data 0.002 (0.001)	Loss 1.4181 (1.0707)	Top-1 acc 31.250 (49.042)	Top-5 acc 100.000 (100.000)	lr 0.04838
Warmup Train [5][48/48]	Time 0.074 (0.010)	Data 0.001 (0.001)	Loss 1.1967 (1.0717)	Top-1 acc 56.364 (48.993)	Top-5 acc 100.000 (100.000)	lr 0.04811
==========Warmup Valid [5/40]	loss 2.059	top-1 acc 30.868	top-5 acc 100.000	Train top-1 48.993	top-5 100.000	flops: 2.3M
Warmup Train [6][0/48]	Time 0.010 (0.010)	Data 0.001 (0.001)	Loss 1.0695 (1.0695)	Top-1 acc 46.875 (46.875)	Top-5 acc 100.000 (100.000)	lr 0.04810
Warmup Train [6][30/48]	Time 0.009 (0.010)	Data 0.001 (0.002)	Loss 0.9956 (1.0089)	Top-1 acc 60.938 (50.806)	Top-5 acc 100.000 (100.000)	lr 0.04761
Warmup Train [6][48/48]	Time 0.177 (0.013)	Data 0.001 (0.001)	Loss 1.0485 (1.0463)	Top-1 acc 43.636 (50.208)	Top-5 acc 100.000 (100.000)	lr 0.04729
==========Warmup Valid [6/40]	loss 2.218	top-1 acc 23.794	top-5 acc 100.000	Train top-1 50.208	top-5 100.000	flops: 2.3M
Warmup Train [7][0/48]	Time 0.010 (0.010)	Data 0.001 (0.001)	Loss 1.0164 (1.0164)	Top-1 acc 54.688 (54.688)	Top-5 acc 100.000 (100.000)	lr 0.04728
Warmup Train [7][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 1.2783 (1.0399)	Top-1 acc 45.312 (52.167)	Top-5 acc 100.000 (100.000)	lr 0.04670
Warmup Train [7][48/48]	Time 0.028 (0.008)	Data 0.001 (0.001)	Loss 0.8615 (1.0620)	Top-1 acc 56.364 (52.127)	Top-5 acc 100.000 (100.000)	lr 0.04634
==========Warmup Valid [7/40]	loss 2.512	top-1 acc 23.365	top-5 acc 100.000	Train top-1 52.127	top-5 100.000	flops: 2.3M
Warmup Train [8][0/48]	Time 0.010 (0.010)	Data 0.002 (0.002)	Loss 0.9388 (0.9388)	Top-1 acc 51.562 (51.562)	Top-5 acc 100.000 (100.000)	lr 0.04632
Warmup Train [8][30/48]	Time 0.006 (0.007)	Data 0.001 (0.001)	Loss 0.8375 (1.0169)	Top-1 acc 59.375 (52.823)	Top-5 acc 100.000 (100.000)	lr 0.04566
Warmup Train [8][48/48]	Time 0.164 (0.011)	Data 0.001 (0.001)	Loss 0.7955 (1.0473)	Top-1 acc 65.455 (51.583)	Top-5 acc 100.000 (100.000)	lr 0.04525
==========Warmup Valid [8/40]	loss 2.227	top-1 acc 30.332	top-5 acc 100.000	Train top-1 51.583	top-5 100.000	flops: 2.3M
Warmup Train [9][0/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.9044 (0.9044)	Top-1 acc 62.500 (62.500)	Top-5 acc 100.000 (100.000)	lr 0.04523
Warmup Train [9][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 1.4080 (0.9807)	Top-1 acc 42.188 (54.940)	Top-5 acc 100.000 (100.000)	lr 0.04450
Warmup Train [9][48/48]	Time 0.035 (0.008)	Data 0.001 (0.001)	Loss 0.9972 (0.9991)	Top-1 acc 56.364 (54.205)	Top-5 acc 100.000 (100.000)	lr 0.04404
==========Warmup Valid [9/40]	loss 1.697	top-1 acc 33.976	top-5 acc 100.000	Train top-1 54.205	top-5 100.000	flops: 2.3M
Warmup Train [10][0/48]	Time 0.010 (0.010)	Data 0.002 (0.002)	Loss 0.8051 (0.8051)	Top-1 acc 59.375 (59.375)	Top-5 acc 100.000 (100.000)	lr 0.04401
Warmup Train [10][30/48]	Time 0.007 (0.008)	Data 0.000 (0.001)	Loss 0.7917 (0.9808)	Top-1 acc 54.688 (55.948)	Top-5 acc 100.000 (100.000)	lr 0.04321
Warmup Train [10][48/48]	Time 0.220 (0.012)	Data 0.001 (0.001)	Loss 0.9152 (0.9989)	Top-1 acc 49.091 (55.900)	Top-5 acc 100.000 (100.000)	lr 0.04271
==========Warmup Valid [10/40]	loss 1.114	top-1 acc 46.517	top-5 acc 100.000	Train top-1 55.900	top-5 100.000	flops: 2.3M
Warmup Train [11][0/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.9235 (0.9235)	Top-1 acc 60.938 (60.938)	Top-5 acc 100.000 (100.000)	lr 0.04268
Warmup Train [11][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.8967 (0.9985)	Top-1 acc 53.125 (55.141)	Top-5 acc 100.000 (100.000)	lr 0.04181
Warmup Train [11][48/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.6575 (0.9933)	Top-1 acc 63.636 (54.525)	Top-5 acc 100.000 (100.000)	lr 0.04127
==========Warmup Valid [11/40]	loss 1.012	top-1 acc 52.412	top-5 acc 100.000	Train top-1 54.525	top-5 100.000	flops: 2.3M
Warmup Train [12][0/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.9480 (0.9480)	Top-1 acc 46.875 (46.875)	Top-5 acc 100.000 (100.000)	lr 0.04124
Warmup Train [12][30/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 0.7011 (0.9395)	Top-1 acc 75.000 (58.367)	Top-5 acc 100.000 (100.000)	lr 0.04030
Warmup Train [12][48/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 1.2719 (0.9258)	Top-1 acc 49.091 (59.418)	Top-5 acc 100.000 (100.000)	lr 0.03973
==========Warmup Valid [12/40]	loss 0.966	top-1 acc 54.555	top-5 acc 100.000	Train top-1 59.418	top-5 100.000	flops: 2.3M
Warmup Train [13][0/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.9563 (0.9563)	Top-1 acc 54.688 (54.688)	Top-5 acc 100.000 (100.000)	lr 0.03969
Warmup Train [13][30/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 0.9724 (0.9127)	Top-1 acc 40.625 (58.619)	Top-5 acc 100.000 (100.000)	lr 0.03871
Warmup Train [13][48/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 1.1387 (0.9064)	Top-1 acc 45.455 (59.418)	Top-5 acc 100.000 (100.000)	lr 0.03810
==========Warmup Valid [13/40]	loss 1.164	top-1 acc 48.339	top-5 acc 100.000	Train top-1 59.418	top-5 100.000	flops: 2.3M
Warmup Train [14][0/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.7334 (0.7334)	Top-1 acc 71.875 (71.875)	Top-5 acc 100.000 (100.000)	lr 0.03806
Warmup Train [14][30/48]	Time 0.008 (0.009)	Data 0.001 (0.001)	Loss 1.6643 (0.9591)	Top-1 acc 46.875 (58.115)	Top-5 acc 100.000 (100.000)	lr 0.03702
Warmup Train [14][48/48]	Time 0.009 (0.009)	Data 0.001 (0.001)	Loss 0.7690 (0.9520)	Top-1 acc 61.818 (58.011)	Top-5 acc 100.000 (100.000)	lr 0.03639
==========Warmup Valid [14/40]	loss 0.951	top-1 acc 47.481	top-5 acc 100.000	Train top-1 58.011	top-5 100.000	flops: 2.3M
Warmup Train [15][0/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 1.0083 (1.0083)	Top-1 acc 59.375 (59.375)	Top-5 acc 100.000 (100.000)	lr 0.03635
Warmup Train [15][30/48]	Time 0.009 (0.008)	Data 0.001 (0.001)	Loss 0.9330 (0.9603)	Top-1 acc 46.875 (57.863)	Top-5 acc 100.000 (100.000)	lr 0.03527
Warmup Train [15][48/48]	Time 0.006 (0.008)	Data 0.001 (0.001)	Loss 0.7764 (0.9184)	Top-1 acc 60.000 (60.026)	Top-5 acc 100.000 (100.000)	lr 0.03460
==========Warmup Valid [15/40]	loss 0.752	top-1 acc 76.099	top-5 acc 100.000	Train top-1 60.026	top-5 100.000	flops: 2.3M
Warmup Train [16][0/48]	Time 0.011 (0.011)	Data 0.002 (0.002)	Loss 0.7617 (0.7617)	Top-1 acc 67.188 (67.188)	Top-5 acc 100.000 (100.000)	lr 0.03457
Warmup Train [16][30/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 1.0294 (0.8318)	Top-1 acc 51.562 (62.349)	Top-5 acc 100.000 (100.000)	lr 0.03345
Warmup Train [16][48/48]	Time 0.009 (0.008)	Data 0.001 (0.001)	Loss 1.1166 (0.8381)	Top-1 acc 58.182 (62.648)	Top-5 acc 100.000 (100.000)	lr 0.03276
==========Warmup Valid [16/40]	loss 1.037	top-1 acc 49.839	top-5 acc 100.000	Train top-1 62.648	top-5 100.000	flops: 2.3M
Warmup Train [17][0/48]	Time 0.011 (0.011)	Data 0.001 (0.001)	Loss 0.6500 (0.6500)	Top-1 acc 62.500 (62.500)	Top-5 acc 100.000 (100.000)	lr 0.03273
Warmup Train [17][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.7810 (0.8289)	Top-1 acc 65.625 (61.190)	Top-5 acc 100.000 (100.000)	lr 0.03157
Warmup Train [17][48/48]	Time 0.007 (0.008)	Data 0.001 (0.001)	Loss 0.9310 (0.8225)	Top-1 acc 63.636 (61.305)	Top-5 acc 100.000 (100.000)	lr 0.03088
==========Warmup Valid [17/40]	loss 0.855	top-1 acc 56.592	top-5 acc 100.000	Train top-1 61.305	top-5 100.000	flops: 2.3M
Warmup Train [18][0/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.7889 (0.7889)	Top-1 acc 68.750 (68.750)	Top-5 acc 100.000 (100.000)	lr 0.03084
Warmup Train [18][30/48]	Time 0.008 (0.008)	Data 0.001 (0.001)	Loss 0.7205 (0.7450)	Top-1 acc 70.312 (65.927)	Top-5 acc 100.000 (100.000)	lr 0.02966
Warmup Train [18][48/48]	Time 0.006 (0.008)	Data 0.000 (0.001)	Loss 0.8349 (0.7865)	Top-1 acc 61.818 (64.535)	Top-5 acc 100.000 (100.000)	lr 0.02895
